ensembl_gene_id,logFC,logCPM,F,PValue,FDR
PSMA2_ENSG00000106588,-1.3519461269213078,8.82169540421383,648.7151966285469,1.3378198818733733e-136,1.4096608095299735e-132
IFITM1_ENSG00000185885,2.254456098449033,9.121230723611891,417.8861594949454,4.054608326671883e-90,2.1361703969070818e-86
EBI3_ENSG00000105246,-1.4309685876948117,8.107788340414615,301.22234547922653,5.065292325385856e-66,1.7790995077530255e-62
MINOS1_ENSG00000173436,-0.8958013482289456,9.079491371833978,299.1591144510008,1.363406948935089e-65,3.591554755232258e-62
RAB38_ENSG00000123892,-1.4014248502914126,7.909089066451538,283.3815254393752,2.6766079697445115e-62,5.640683635439584e-59
ARPC1B_ENSG00000130429,-0.9025849212550786,9.264875994084168,277.65471510220345,4.215496928015903e-61,7.403115188417262e-58
ATP5MD_ENSG00000173915,-0.766577488931513,9.435987882725476,272.4542235750753,5.164349305064953e-60,7.773821232495629e-57
NDUFB1_ENSG00000183648,-0.9952954650377933,8.544462006020215,240.6101312274746,2.488129837138835e-53,3.277178011741488e-50
MIR155HG_ENSG00000234883,-1.2457068688044919,8.387124775449243,207.91071771797985,1.969585196385985e-46,2.3059465793687913e-43
ATP5ME_ENSG00000169020,-0.8297372473377026,8.762701965277767,200.32388285081947,7.949587062414467e-45,8.376479887666125e-42
CD82_ENSG00000085117,-1.179458169637313,8.18730727158497,197.8152466340525,2.7028742506122494e-44,2.58910781624557e-41
XCL1_ENSG00000143184,-1.2199393498269648,7.781515564204927,285.0208055770234,2.0685105052405907e-42,1.8163245994766753e-39
IGKV1-9_ENSG00000241755,1.9012272894926996,8.001299983296727,175.9658242106869,1.1766486824024315e-39,9.537190128057247e-37
ATP1A1_ENSG00000163399,-0.9836465543091799,8.355874736988243,173.83888134406612,3.3355671247523165e-39,2.5104907709653685e-36
MIF_ENSG00000240972,0.7737867902930733,9.663839852902791,170.83353772071146,1.4550342988704406e-38,1.0221130938131888e-35
TUBA1A_ENSG00000167552,-1.2053020167021822,7.82838509534927,244.424365166488,2.9460960623789176e-38,1.940188388080416e-35
S100A4_ENSG00000196154,-1.1275661344955996,8.664260242261662,166.65703812013652,1.128341094755217e-37,6.993723597315131e-35
NFKBIA_ENSG00000100906,-1.165674367809991,8.525260665675296,159.5423173499833,3.710163905336064e-36,2.1718887261403394e-33
MARCKSL1_ENSG00000175130,-0.8880311294062071,9.282931649450491,155.461900379149,2.7560908815892813e-35,1.528469979963487e-32
SMIM14_ENSG00000163683,-1.2445060678511979,8.078607543693588,153.79095436450257,6.267906693079794e-35,3.3022466412490896e-32
FTL_ENSG00000087086,0.7995711593454459,13.341449407131085,152.70571196388954,1.0688954120596766e-34,5.363309979463244e-32
COX4I1_ENSG00000131143,0.4298487422483775,10.991992836825531,149.3734278084975,5.5083840078346e-34,2.638265558661508e-31
NCF2_ENSG00000116701,-1.0723596576299874,7.906961658624576,154.56092240788286,1.3032739002527865e-33,5.970694385636352e-31
BIRC3_ENSG00000023445,-1.0694754352222686,7.900841226706856,148.43945187661137,1.476203371600152e-33,6.481147886062835e-31
MS4A1_ENSG00000156738,-0.9623698489064192,9.827279572843738,141.87080025196482,2.2179811572397887e-32,9.348346981534262e-30
LYSMD2_ENSG00000140280,-1.0110713370671012,7.952803197440269,141.39769974099536,2.800529388300585e-32,1.1349683909432025e-29
S100A6_ENSG00000197956,-1.017356230011204,8.18270186431505,136.401531158723,3.291596909097485e-31,1.2845761715244516e-28
CYBA_ENSG00000051523,0.6578972621869631,11.148520736917268,136.15187911552562,3.723139701767698e-31,1.4010972513402225e-28
PLEK_ENSG00000115956,-0.9389426687393778,8.355189309654309,133.50222982015566,1.3769502429518622e-30,5.003077486201301e-28
MZB1_ENSG00000170476,1.4895268335408376,10.499338078120925,133.32203670995332,1.5050727672694588e-30,5.286317249572763e-28
SUB1_ENSG00000113387,0.7456014120468776,12.009910042007219,133.23161104219102,1.5737952347693034e-30,5.34938077056908e-28
PILRA_ENSG00000085514,-1.1558332732396914,7.780276747985841,311.0318095071026,1.2311772169655438e-29,4.054035729739355e-27
UQCRHL_ENSG00000233954,1.3598991809733352,8.027917082296847,128.82614713180647,1.387013880260099e-29,4.42877735039414e-27
COX5A_ENSG00000178741,0.49860400005486305,10.923169940463422,126.46804424638584,4.4497080715833416e-29,1.3790168808904022e-26
ISG20_ENSG00000172183,1.2815049115974944,10.413896818064226,125.76121112659206,6.311414883186139e-29,1.900096532118067e-26
FSCN1_ENSG00000075618,-0.9947680987297846,8.068338412997045,125.55036323985284,7.005053983071566e-29,2.050340383878475e-26
EMX1_ENSG00000135638,-1.0906175036997987,7.775844997520938,297.0532710397793,2.6995308194319358e-28,7.687826011987651e-26
HNRNPA1P48_ENSG00000224578,-0.9230062693040237,7.969758673654477,123.58131550395586,6.538921538447593e-28,1.8131741118584813e-25
UBE2J1_ENSG00000198833,1.1551872582634064,9.244430863045869,118.54875158386773,2.2404064101054077e-27,6.0531185495591485e-25
ISG15_ENSG00000187608,0.9181768009378154,11.960037937446998,116.29935623672118,6.827929033671718e-27,1.7986472056949723e-24
LYPD6B_ENSG00000150556,-1.0592695319037113,7.809214370460971,193.75509276590543,2.3704654576007775e-26,6.0920962260339984e-24
TMA7_ENSG00000232112,-0.3863813392378458,10.540709110893573,107.635228511656,5.0194334272181485e-25,1.2577709037990895e-22
CRYZ_ENSG00000116791,-0.9551414665374967,7.878127110839726,134.05388811808058,5.1327843658879045e-25,1.2577709037990895e-22
FLNA_ENSG00000196924,-0.8829970263759972,8.055314805489887,105.75268064109746,1.278401939041423e-24,3.061482098108971e-22
LTA_ENSG00000226979,-1.0996854135077363,7.999241204067234,105.43350512904293,1.4980361399759473e-24,3.5077348459836795e-22
CSTB_ENSG00000160213,-0.5500331845221511,9.303415933291198,104.63420591983613,2.228309903050531e-24,5.104282923574662e-22
CLEC2D_ENSG00000069493,0.912570940181938,9.47119135725196,101.00430328278702,1.3538154014094193e-23,3.035138911627883e-21
TUBB6_ENSG00000176014,-0.8616349234346162,7.89018037992558,100.01771403803589,2.2113215223197207e-23,4.854311433475604e-21
CAPG_ENSG00000042493,-0.879825715938159,8.23093366666481,99.432594990789255,2.958389759591684e-23,6.361745489146444e-21
TNFSF4_ENSG00000117586,-0.9888286275273533,7.755317566920435,360.65792616266594,5.981355467241848e-23,1.2605108511665473e-20
LINC00158_ENSG00000185433,-0.9958423301020379,7.780535157896481,231.9376036061734,6.582251998645883e-23,1.359944888426111e-20
CCR7_ENSG00000126353,-1.033046806057526,8.230931717764232,97.6818470495521,7.069338467648276e-23,1.4324926814155747e-20
UQCRH_ENSG00000173660,0.4237627779412052,11.472451018461937,94.34082858306122,3.730840010080367e-22,7.417332299286194e-20
MRPS28_ENSG00000147586,-0.8047082720058336,7.970090589757031,93.86030259104616,4.739811039768531e-22,9.003076523187137e-20
SLIRP_ENSG00000119705,-0.5481709007010558,9.273522609516354,93.85076517895457,4.762384215241906e-22,9.003076523187137e-20
CYB5A_ENSG00000166347,-0.7621012986462674,8.224324880424884,93.84134724324002,4.784780158474706e-22,9.003076523187137e-20
HLA-DQB2_ENSG00000232629,1.1985355292174222,7.85597931263351,136.54703136393607,1.1381002461887814e-21,2.1011090690494947e-19
ANXA4_ENSG00000196975,-0.7753678763654906,8.313831526198836,92.07008860763682,1.1565372117763186e-21,2.1011090690494947e-19
